street,number,plz,place,canton,rooms,area,price
Brückfeldstrasse,36,3012,Bern,BE,4,83,2450
Breitenrainstrasse,20,3013,Bern,BE,4.5,107,2450
Laubeggstrasse,53,3006,Bern,BE,4,120,2465
Wiesenstrasse,83,3014,Bern,BE,3.5,103,2470
Landhausweg,11,3007,Bern,BE,4.5,106,2475
Landhausweg,11,3007,Bern,BE,4.5,96,2475
Schwanengasse,3,3011,Bern,BE,4.5,120,2500
Weststrasse,26,3005,Bern,BE,2.5,68,2540
Gigonweg,17,3027,Bern,BE,4.5,120,2570
Wabernstrasse,87,3007,Bern,BE,4.5,106,2580
Bitziusstrasse,40,3006,Bern,BE,3.5,84,2580
Weingartstrasse,43,3014,Bern,BE,3.5,70,2590
Rathausgasse,64,3011,Bern,BE,2.5,70,2595
Holligenstrasse,23,3008,Bern,BE,4.5,109,2641
Bitziusstrasse,40,3006,Bern,BE,2.5,84,2680
Eigerstr.,60,3007,Bern,BE,4.5,102,2685
Eigerstr.,60,3007,Bern,BE,4.5,108,2700
Mülinenstrasse,34,3006,Bern,BE,4,86,2700
Weissweg,2,3006,Bern,BE,3.5,105,2700
Wernerstrasse,20,3006,Bern,BE,4.5,96,2740
Steinerstrasse,25,3006,Bern,BE,3.5,85,2760
Brückfeldstrasse,10,3012,Bern,BE,3.5,140,2760
Gryphenhübeliweg,28,3006,Bern,BE,3.5,85,2770
Salvisbergstrasse,5,3006,Bern,BE,3.5,87,2795
Mühlemattstrasse,16,3007,Bern,BE,5,136,2800
Le-Corbusier-Platz,12,3027,Bern,BE,4.5,128,2820
Winterholzstrasse,57,3018,Bern,BE,1,144,2850
Sodweg,7,3012,Bern,BE,3.5,111,2850
Balmerstrasse,14,3006,Bern,BE,4.5,120,2860
Marienstrasse,14,3005,Bern,BE,4,93,2860
Allmendstrasse,2,3014,Bern,BE,3.5,94,2860
Le-Corbusier-Platz,10,3027,Bern,BE,4.5,128,2875
Marktgasse,17,3011,Bern,BE,1.5,102,2890
Marktgasse,17,3011,Bern,BE,3.5,102,2890
Fährstrasse,2,3004,Bern,BE,3,119,2900
Monbijoustrasse,34,3011,Bern,BE,3,145,2928
Allmendstrasse,2,3014,Bern,BE,3.5,99,2985
Allmendstrasse,2,3014,Bern,BE,4,99,2985
Zähringerstrasse,23,3012,Bern,BE,3.5,92,2990
Manuelstrasse,57,3006,Bern,BE,4.5,125,3080
Allmendstrasse,2,3014,Bern,BE,4.5,101,3090
Allmendstrasse,2,3014,Bern,BE,3.5,90,3155
Alexandraweg,31,3006,Bern,BE,4.5,129,3180
Bitziusstrasse,51,3006,Bern,BE,4,110,3215
Lorrainestrasse,8,3013,Bern,BE,4.5,130,3220
Matterstrasse,4,3006,Bern,BE,4.5,124,3250
Malerweg,1,3012,Bern,BE,3.5,92,3250
Kramgasse,78,3011,Bern,BE,4.5,177,3350
Thunstrasse,5,3005,Bern,BE,3,59,3400
Kasernenstrasse,39,3013,Bern,BE,4,110,3500
Sulgeneckstrasse,38,3007,Bern,BE,5,130,3521
Kramgasse,64,3011,Bern,BE,4.5,116,3650
Brunnadernrain,9,3006,Bern,BE,5,130,3800
Brunnadernstrasse,35,3006,Bern,BE,5.5,140,4030
Humboldtstrasse,31,3013,Bern,BE,5.5,149,4100
Liebeggweg,7,3006,Bern,BE,5.5,169,4450
Rainmattstrasse,16,3011,Bern,BE,5.5,177,4720
Herrengasse,23,3011,Bern,BE,7,260,5000
Hostettlerweg,2,3006,Bern,BE,4.5,129,5170
Junkerngasse,5,3011,Bern,BE,6.5,170,5990
Bümplizstrasse,198,3018,Bern,BE,1,60,550
Freiburgstrasse,62,3008,Bern,BE,1,30,850
Zähringerstrasse,38,3012,Bern,BE,2.5,38,1190
untermattweg,76,3027,Bern,BE,3.5,66,1470
Centrtalweg,21,3013,Bern,BE,3,90,1518
Weidmattweg,24,3018,Bern,BE,3.5,80,1550
Neufeldstrasse,119,3012,Bern,BE,3,65,1580
Rathausgasse,32,3011,Bern,BE,2,65,1694
Le-Corbusier-Platz,11,3027,Bern,BE,2.5,72,1779
Weissensteinstrasse,112,3007,Bern,BE,3.5,85,1850
Hochfeldstrasse,16,3012,Bern,BE,3,70,2050
Tscharnerstrasse,36,3004,Bern,BE,3.5,105,2250
Viktoriastrasse,21,3013,Bern,BE,4.5,122,3130
Auhofstrasse,3,8051,Zürich,ZH,4.5,110,2380
Auhofstrasse,3,8051,Zürich,ZH,3,97,2155
Naphtastr.,4,8005,Zürich,ZH,5.5,128,3850
Hädrichstr.,8,8047,Zürich,ZH,1.5,75,1980
Eugen-Huber-Strasse,64,8048,Zürich,ZH,1.5,26,1590
Badenerstrasse,367,8003,Zürich,ZH,2,55,1570
Kilchbergstrasse,174,8038,Zürich,ZH,1,30,1145
Gutstrasse,161,8047,Zürich,ZH,4,98,2392
Heerenschürlistrasse,9,8051,Zürich,ZH,3.5,98,2690
Schaffhauserstrasse,165,8057,Zürich,ZH,3,73,2140
Schaffhauserstrasse,165,8057,Zürich,ZH,3,73,2140
Vulkanstrasse,110,8048,Zürich,ZH,1.5,43,1730
Vulkanstrasse,110,8048,Zürich,ZH,2.5,57,2090
Hagenholzstr.,62,8050,Zürich,ZH,3.5,84,2708
Leutschenbachstrasse,50,8050,Zürich,ZH,3.5,86,2720
Mutschellenstrasse,69,8038,Zürich,ZH,3,74,2070
Butzenstrasse,39,8038,Zürich,ZH,4,90,3190
Kürbergstrasse,1,8049,Zürich,ZH,3.5,110,3500
Bellerivestrasse,2,8008,Zürich,ZH,3.5,95,3985
Kurvenstrasse,1,8006,Zürich,ZH,1,14,480
Ueberlandstrasse,377,8051,Zürich,ZH,1,32,980
Eibenstrasse,18,8045,Zürich,ZH,1,22,990
Winterthurerstrasse,358,8057,Zürich,ZH,1,37,1030
Fellenbergstrasse,289,8047,Zürich,ZH,1,30,1045
Regensdorferstrasse,65,8049,Zürich,ZH,1,35,1059
Mühlebachstrasse,41,8008,Zürich,ZH,1,22,1083
Hirzenbachstrasse,2,8051,Zürich,ZH,1,35,1090
Hügelstr.,43,8002,Zürich,ZH,1,20,1100
Birchstrasse,419,8052,Zürich,ZH,1,36,1150
Giblenstrasse,55,8049,Zürich,ZH,2,42,1168
Neugasse,40,8005,Zürich,ZH,1,12,1190
Wydäckerring,66,8047,Zürich,ZH,1,30,1195
Hallwylstrasse,40,8004,Zürich,ZH,1,25,1230
Sihlweidstrasse,60,8041,Zürich,ZH,1,28,1245
Wuhrstrasse,21,8003,Zürich,ZH,1,39,1250
Herbstweg,5,8050,Zürich,ZH,1,23,1270
Witellikerstrasse,60,8008,Zürich,ZH,1,19,1275
Ettenfeldstrasse,1,8052,Zürich,ZH,1,24,1290
Blauäcker,12,8051,Zürich,ZH,1.5,37,1290
Grünhaldenstrasse,29,8052,Zürich,ZH,1,27,1290
Universitätstrasse,110,8006,Zürich,ZH,1,19,1295
Bächlerstrasse,54,8046,Zürich,ZH,2.5,52,1300
Kronenstrasse,39,8006,Zürich,ZH,1,30,1306
Birchstrasse,26,8057,Zürich,ZH,1,20,1315
Caspar-Wüst Strasse,75,8052,Zürich,ZH,2,48,1318
Schaffhauserstrasse,550,8052,Zürich,ZH,1,20,1350
Langgrütstr.,50,8047,Zürich,ZH,2,52,1380
Neptunstrasse,59,8032,Zürich,ZH,1.5,25,1390
Neptunstrasse,59,8032,Zürich,ZH,1.5,25,1390
Schwandenholzstrasse,222,8046,Zürich,ZH,1.5,44,1400
Ettenfeldstrasse,1,8052,Zürich,ZH,1,31,1410
Kirchenackerweg,5,8050,Zürich,ZH,2,46,1410
Friedhofstrasse,27,8048,Zürich,ZH,2,47,1420
Steinstrasse,27,8003,Zürich,ZH,1,23,1440
Affolternstrasse,103,8050,Zürich,ZH,1.5,22,1450
Ackerstrasse,44,8005,Zürich,ZH,2,39,1450
Jakob-Fügli-Strasse,18,8048,Zürich,ZH,1.5,23,1450
Badenerstr.,723,8048,Zürich,ZH,2,63,1450
Leimgrübelstrasse,22,8052,Zürich,ZH,1.5,38,1468
Altwiesenstr.,97,8051,Zürich,ZH,2,48,1478
Oerlikonerstrasse,7,8057,Zürich,ZH,1.5,34,1480
Seebacherstrasse,65,8052,Zürich,ZH,2.5,41,1490
Ueberlandstrasse,377,8051,Zürich,ZH,2,56,1490
Wallisellenstrasse,473,8050,Zürich,ZH,2,46,1500
Anwandstrasse,82,8004,Zürich,ZH,2.5,61,1503
Hungerbergstr.,27,8046,Zürich,ZH,1.5,39,1520
Obstgartenstr.,40,8006,Zürich,ZH,1,24,1530
Seefeldstrasse,255,8008,Zürich,ZH,1,24,1550
Reinhold-Frei-Strasse,21,8049,Zürich,ZH,1.5,49,1550
Anwandstrasse,62,8004,Zürich,ZH,2,34,1565
Luegislandstrasse,163,8051,Zürich,ZH,3,63,1570
Schwandenwiesen,12,8052,Zürich,ZH,3,54,1570
Bächlerstrasse,56,8046,Zürich,ZH,3,62,1580
Im Brächli,66,8053,Zürich,ZH,2,50,1580
Albisstrasse,176,8038,Zürich,ZH,2.5,60,1580
Saumackerstrasse,20,8048,Zürich,ZH,3,53,1595
Seestrasse,266,8038,Zürich,ZH,1,32,1605
Grosswiesenstrasse,142,8051,Zürich,ZH,3,58,1605
Dangelstrasse,2,8038,Zürich,ZH,2,53,1625
Witikonerstr.,241,8053,Zürich,ZH,2,44,1640
Viktoriastr.,61,8050,Zürich,ZH,2,55,1645
Gubelstrasse,60,8050,Zürich,ZH,1,25,1650
Gubelstrasse,60,8050,Zürich,ZH,1,25,1650
Eugen-Huber-Strasse,64,8048,Zürich,ZH,1.5,29,1650
Seefeldstrasse,255,8008,Zürich,ZH,1,24,1650
Schaffhauserstrasse,306,8050,Zürich,ZH,2,54,1650
Schwellistrasse,4,8052,Zürich,ZH,4,81,1650
Geeringstr.,85,8049,Zürich,ZH,2.5,63,1660
Eulenweg,27,8048,Zürich,ZH,1.5,59,1660
Dohlenweg,28,8050,Zürich,ZH,3.5,71,1665
Heinrich Federer-Str.,15,8038,Zürich,ZH,2.5,53,1670
Erlenstrasse,21,8048,Zürich,ZH,3,60,1680
Bernerstrasse Nord,226,8064,Zürich,ZH,2,50,1690
Baslerstrasse,119,8048,Zürich,ZH,2,62,1690
Zielweg,80,8055,Zürich,ZH,1,24,1690
Vetterliweg,80,8048,Zürich,ZH,3,59,1690
Uetlibergstrasse,246,8045,Zürich,ZH,2.5,62,1690
Schulhausstrasse,51,8002,Zürich,ZH,1.5,41,1690
Viktoriastr.,61,8050,Zürich,ZH,2,55,1695
Küngenmatt,8,8055,Zürich,ZH,2,48,1695
Hungerbergstrasse,39,8046,Zürich,ZH,3,56,1710
Bergacker,18,8046,Zürich,ZH,4,66,1720
Schürgistr.,69,8051,Zürich,ZH,2,62,1725
Georg Kempf-Strasse,10,8046,Zürich,ZH,3.5,68,1729
Ueberlandstr.,341,8051,Zürich,ZH,4,75,1730
Ueberlandstrasse,377,8051,Zürich,ZH,3,66,1740
Langgrütstrasse,106,8047,Zürich,ZH,3.5,75,1750
Langgrütstrasse,104,8047,Zürich,ZH,3,74,1750
Badenerstr.,881,8048,Zürich,ZH,2,48,1750
Werdstrasse,104,8004,Zürich,ZH,1,32,1750
Glattalstrasse,64,8052,Zürich,ZH,3,62,1750
Neugasse,40,8005,Zürich,ZH,1.5,30,1750
Sihlfeldstrasse,97,8004,Zürich,ZH,2.5,38,1750
Holderbachweg,63,8046,Zürich,ZH,3.5,73,1770
Jakob Füglistrasse,16,8048,Zürich,ZH,1.5,47,1770
Rotachstrasse,33,8003,Zürich,ZH,1,16,1780
Regensdorferstrasse,45,8049,Zürich,ZH,3,63,1780
Fabrikstrasse,10,8005,Zürich,ZH,2.5,60,1790
Binzmühlestr.,48,8050,Zürich,ZH,1,20,1790
Waffenplatzstrasse,72,8002,Zürich,ZH,1,12,1790
Luegislandstr.,56,8051,Zürich,ZH,3,72,1790
Stettbachstrasse,43,8051,Zürich,ZH,2,42,1810
Im Brächli,25,8053,Zürich,ZH,3,64,1820
Leimbachstrasse,34,8041,Zürich,ZH,3.5,73,1860
Lachenacker,9,8049,Zürich,ZH,3,73,1870
Bäckerstrasse,34,8004,Zürich,ZH,1,25,1870
Wehntalerstrasse,286,8046,Zürich,ZH,3,64,1880
Militärstrasse,24,8004,Zürich,ZH,1,24,1890
Cramerstrasse,8,8004,Zürich,ZH,1,15,1890
Riedenhaldenstrasse,254,8046,Zürich,ZH,3,66,1890
Riedenhaldenstrasse,52,8046,Zürich,ZH,3,65,1895
Dohlenweg,2,8050,Zürich,ZH,3,65,1899
Bächlerstrasse,54,8046,Zürich,ZH,5.5,102,1900
Maneggplatz,16,8041,Zürich,ZH,2.5,65,1900
Nordstrasse,223,8037,Zürich,ZH,2,49,1900
Scheuchzerstrasse,18,8006,Zürich,ZH,2,73,1910
Kappelistrasse,26,8002,Zürich,ZH,3,69,1925
Sempacherstr.,23,8032,Zürich,ZH,2,59,1930
Leimgrübelstrasse,14,8052,Zürich,ZH,3,74,1940
Schoffelgasse,7,8001,Zürich,ZH,1.5,33,1940
