street,number,plz,place,canton,rooms,area,price
Wylerstrasse,121,3014,Bern,BE,3.5,110,2470
Weltpoststrasse,8,3015,Bern,BE,2.5,108,2220
Murtenstrasse,143,3008,Bern,BE,4.5,126,2750
Münstergasse,66,3011,Bern,BE,2,75,1990
Kramgasse,67,3011,Bern,BE,2.5,73,2150
Hochfeldstrasse,94,3012,Bern,BE,4.5,101,2890
Jubiläumsstrasse,51,3005,Bern,BE,4,94,3200
Brünnenstrasse,101,3018,Bern,BE,3,65,1590
Brechbühlerstrasse,18,3006,Bern,BE,4.5,142,3500
Jupiterstrasse,29,3015,Bern,BE,1,17,990
Freieckweg,7,3018,Bern,BE,3,70,1545
Muristrasse,86,3006,Bern,BE,3,73,1735
Flurstrasse,38,3014,Bern,BE,2.5,68,1500
Dunkerstrasse,55,3006,Bern,BE,3.5,125,2650
Bahnstrasse,98,3008,Bern,BE,4,87,1930
Wylerstrasse,109,3014,Bern,BE,3.5,134,2550
Brunngasse,50,3011,Bern,BE,3,75,2045
Kapellenstrasse,24,3011,Bern,BE,5,110,2550
Morillonstrasse,50,3007,Bern,BE,4.5,95,2665
Normannenstrasse,35,3018,Bern,BE,1,20,85
Ginsterweg,16,3006,Bern,BE,1,13,100
Bubenbergplatz,4,3011,Bern,BE,1,14,500
Länggassstrasse,75,3012,Bern,BE,1,14,650
Standstrasse,13,3014,Bern,BE,1,23,697
Allmendstrasse,1,3014,Bern,BE,1,30,750
Freiburgstrasse,351,3018,Bern,BE,1,24,750
Freiburgstrasse,58,3008,Bern,BE,1,109,760
Seidenweg,4,3012,Bern,BE,1,15,760
Sulgenrain,22,3007,Bern,BE,1.5,28,795
Moserstrasse,14,3014,Bern,BE,1,30,870
Waldheimstrasse,8,3012,Bern,BE,1,24,890
Waldhöheweg,1,3013,Bern,BE,1,26,895
Alemannenstrasse,45,3018,Bern,BE,1.5,35,900
Bridelstrasse,101,3008,Bern,BE,1.5,35,900
Eigerplatz,5,3007,Bern,BE,1.5,31,926
Eigerstr.,78,3007,Bern,BE,1,28,940
Cäcilienstr.,7,3007,Bern,BE,1.5,45,950
Mittelstrasse,32,3012,Bern,BE,1,25,955
Mittelstrasse,53,3012,Bern,BE,1,33,970
Moserstrasse,27,3014,Bern,BE,1.5,48,970
Brückfeldstrasse,7,3012,Bern,BE,1.5,27,970
Mittelstrasse,9,3012,Bern,BE,1,25,1000
Mittelstrasse,53,3012,Bern,BE,1,31,1010
Effingerstr.,109,3008,Bern,BE,2,43,1030
Schenkstrasse,21,3008,Bern,BE,1,36,1040
Elisabethenstr.,10,3014,Bern,BE,1.5,34,1060
Stöckackerstrasse,114,3018,Bern,BE,3.5,81,1070
Reichenbachstrasse,120,3004,Bern,BE,1,28,1080
Seilerstrasse,25,3011,Bern,BE,1,25,1090
Parkstrasse,11,3014,Bern,BE,1,22,1140
GoumoÃ«nsstrasse,47,3007,Bern,BE,2,48,1170
Schosshaldenstrasse,53,3006,Bern,BE,1.5,40,1175
Schenkstrasse,11,3008,Bern,BE,3,64,1190
Stöckackerstrasse,114,3018,Bern,BE,4.5,81,1190
Bümplizstrasse,142,3018,Bern,BE,1.5,45,1195
Anshelmstrasse,18,3005,Bern,BE,1.5,68,1205
Nydeggstalden,20,3011,Bern,BE,1,26,1210
Weissensteinstrasse,49,3007,Bern,BE,2,43,1220
Wangenstrasse,42,3018,Bern,BE,2,50,1240
Mülinenstrasse,30,3006,Bern,BE,2,44,1250
Reichenbachstrasse,120,3004,Bern,BE,1.5,45,1250
Mülinenstrasse,30,3006,Bern,BE,2,44,1250
Morillonstrasse,28,3007,Bern,BE,2,60,1250
Flurstrasse,21,3014,Bern,BE,2.5,40,1260
Cäcilienstr.,17,3007,Bern,BE,2,50,1270
Holligenstrasse,109,3008,Bern,BE,2.5,57,1275
Winkelriedstrasse,43,3014,Bern,BE,2,51,1275
Buristr.,8,3006,Bern,BE,2,45,1290
Sulgeneckstrasse,48,3007,Bern,BE,1,20,1300
Fellerstrasse,40,3027,Bern,BE,3.5,67,1320
Waldheimst.,4,3012,Bern,BE,3,61,1323
Bethlehemstrasse,72,3018,Bern,BE,3.5,70,1325
Holenackerstrasse,25,3027,Bern,BE,2.5,60,1325
Länggasse-Strasse,70,3012,Bern,BE,2,45,1330
Biderstrasse,25,3006,Bern,BE,2,53,1340
Weissensteinstrasse,49,3007,Bern,BE,2,55,1360
Mutachstrasse,19,3008,Bern,BE,2.5,48,1360
Murtenstrasse,258,3027,Bern,BE,3.5,68,1380
Holzikofenweg,22,3007,Bern,BE,2.5,53,1380
Buchenweg,16,3012,Bern,BE,2,52,1390
Brünnenstrasse,108,3018,Bern,BE,2.5,70,1390
Papiermühlestrasse,10,3013,Bern,BE,1.5,60,1390
Niesenweg,1,3012,Bern,BE,1.5,36,1400
Tscharnerstrasse,43,3007,Bern,BE,2.5,43,1400
Schönburgstrasse,54,3013,Bern,BE,2,52,1410
Schenkstrasse,3,3008,Bern,BE,3,70,1410
Ostring,77,3006,Bern,BE,2,58,1420
Reichenbachstrasse,120,3004,Bern,BE,2.5,58,1430
Fröschmattstrasse,20,3018,Bern,BE,3,67,1440
Wangenstrasse,96,3018,Bern,BE,3.5,70,1450
Obermattstr.,18,3018,Bern,BE,3,61,1470
Untermattweg,76,3027,Bern,BE,3.5,66,1470
Chutzenstrasse,48,3007,Bern,BE,3,69,1470
Bürenstrasse,45,3007,Bern,BE,2,55,1470
Hüsliackerstrasse,19,3018,Bern,BE,2.5,68,1470
Moserstrasse,14,3014,Bern,BE,2.5,60,1480
Bümplizstrasse,189,3018,Bern,BE,3,49,1490
Konsumstrasse,13,3007,Bern,BE,2.5,57,1490
Statthalterstrasse,41,3018,Bern,BE,3,62,1490
Heckenweg,51,3007,Bern,BE,3,65,1495
Normannenstrasse,35,3018,Bern,BE,3.5,75,1495
Fellerstrasse,40,3027,Bern,BE,4.5,78,1510
Junkerngasse,40,3011,Bern,BE,1,75,1516
Waldheimstrasse,8,3012,Bern,BE,3,57,1520
Obere Zollgasse,108,3006,Bern,BE,3.5,70,1520
Normannenstrasse,43,3018,Bern,BE,3.5,73,1530
Melchtalstrasse,26,3014,Bern,BE,2.5,52,1540
Hintere Engehaldestrasse,12,3004,Bern,BE,2.5,65,1540
Konsumstrasse,13,3007,Bern,BE,2.5,57,1540
Spitalackerstrasse,20,3013,Bern,BE,3.5,73,1540
Sulgenbachstrasse,10,3007,Bern,BE,2.5,75,1540
Stöckackerstrasse,99,3018,Bern,BE,3,75,1545
Optingenstrasse,42,3013,Bern,BE,3,78,1550
Wylerstrasse,95,3014,Bern,BE,2.5,70,1550
Radarstrasse,7,3013,Bern,BE,3,90,1550
Hochfeldstrasse,53,3012,Bern,BE,2,45,1550
Mühledorfstrasse,2,3018,Bern,BE,3,54,1560
Mittelstrasse,55,3012,Bern,BE,2.5,68,1560
Rodtmattstrasse,50,3014,Bern,BE,2.5,50,1560
Normannenstrasse,35,3018,Bern,BE,3.5,75,1560
Burgernzielrain,3,3006,Bern,BE,2.5,57,1580
Bethlehemstrasse,94,3018,Bern,BE,3.5,65,1580
Bümplizstrasse,142,3018,Bern,BE,2.5,52,1585
Laubeggstrasse,117,3006,Bern,BE,3,68,1585
Ostring,12,3006,Bern,BE,2,57,1590
Brunnmattstrasse,67,3007,Bern,BE,3,63,1590
Thunstrasse,24,3005,Bern,BE,1.5,65,1590
Elfenauweg,23,3006,Bern,BE,2.5,69,1595
Breiteweg,26,3006,Bern,BE,3,80,1600
Aarstrasse,102,3005,Bern,BE,2,50,1600
Aarstrasse,102,3005,Bern,BE,2,50,1600
Randweg,11,3013,Bern,BE,3.5,72,1600
Bienenstrasse,2,3018,Bern,BE,3.5,60,1610
Hubelmattstrasse,60,3007,Bern,BE,3.5,92,1610
Gutenbergstr.,37,3011,Bern,BE,2.5,66,1615
Jupiterstrasse,21,3015,Bern,BE,3.5,75,1620
Muristrasse,69,3006,Bern,BE,3,80,1626
Winkelriedstrasse,34,3014,Bern,BE,2.5,60,1630
Wabernstrasse,79,3007,Bern,BE,2,62,1630
Winkelriedstr.,13,3014,Bern,BE,4,73,1630
Hintere Engehaldestrasse,12,3004,Bern,BE,2.5,91,1635
Mühledorfstrasse,4,3018,Bern,BE,2.5,59,1640
Mühledorfstrasse,4,3018,Bern,BE,3,59,1650
Alpenstrasse,23,3006,Bern,BE,1,25,1650
Ankerstrasse,12,3006,Bern,BE,3,71,1680
Bottigenstrasse,25,3018,Bern,BE,4,77,1680
Greyerzstrasse,51,3013,Bern,BE,2.5,55,1680
Attinghausenstrasse,22,3014,Bern,BE,3,68,1685
Junkerngasse,14,3011,Bern,BE,2,50,1690
Mühledorfstrasse,21,3018,Bern,BE,3.5,69,1690
Haldenstrasse,143,3014,Bern,BE,3.5,91,1690
Sonnenhofweg,11,3006,Bern,BE,3,65,1690
Alemannenstrasse,42,3018,Bern,BE,3.5,87,1690
Tscharnerstrasse,43,3007,Bern,BE,3,65,1695
Muristrasse,64,3006,Bern,BE,3.5,75,1700
Muristrasse,92,3006,Bern,BE,3,73,1700
Weltistrasse,32,3006,Bern,BE,3.5,92,1700
Sandrainstrasse,6,3007,Bern,BE,3,61,1700
Murtenstrasse,143,3008,Bern,BE,3,68,1700
Seidenweg,70,3012,Bern,BE,3.5,70,1710
Spitalackerstrasse,24,3013,Bern,BE,3.5,71,1710
Forstweg,63,3012,Bern,BE,3,60,1730
Länggassstrasse,91,3012,Bern,BE,2.5,74,1740
Rossfeldstrasse,32,3004,Bern,BE,3.5,100,1750
Alpenstrasse,23,3006,Bern,BE,1,35,1750
Holenackerstrasse,65,3027,Bern,BE,3.5,94,1755
Holenackerstrasse,7,3027,Bern,BE,4.5,89,1770
Rodtmattstrasse,50,3014,Bern,BE,2.5,57,1780
Elfenauweg,33,3006,Bern,BE,3,62,1790
Eigerstrasse,74,3007,Bern,BE,4,85,1790
Gesellschaftsstr.,44,3012,Bern,BE,3.5,67,1790
Thunstrasse,94,3006,Bern,BE,3,75,1800
Schwarztorstrasse,103,3007,Bern,BE,4.5,87,1800
Buristr.,6,3006,Bern,BE,3.5,79,1800
Funkerstrasse,27,3013,Bern,BE,2.5,67,1800
Bolligenstrasse,46,3006,Bern,BE,3,90,1804
Schönburgstrasse,58,3013,Bern,BE,3,100,1830
Viktoriastrasse,21,3013,Bern,BE,2.5,51,1830
Parkstrasse,29,3014,Bern,BE,3,70,1840
Winkelriedstrasse,7,3014,Bern,BE,3,83,1840
Winkelriedstrasse,7,3014,Bern,BE,3,83,1840
Aegertenstrasse,53,3005,Bern,BE,2.5,55,1850
Holenackerstrasse,11,3027,Bern,BE,4.5,96,1850
Greyerzstrasse,25,3013,Bern,BE,2.5,94,1850
Weissensteinstrasse,112,3007,Bern,BE,3.5,85,1850
Heckenweg,8,3007,Bern,BE,4.5,102,1868
Jupiterstrasse,49,3015,Bern,BE,3.5,88,1870
Le-Corbusier-Platz,10,3027,Bern,BE,2.5,71,1870
Cäcilienstrasse,42,3007,Bern,BE,3,79,1880
Obermattstr.,18,3018,Bern,BE,4,90,1880
Jupiterstrasse,49,3015,Bern,BE,3.5,88,1890
Bühlstrasse,27,3012,Bern,BE,3.5,76,1890
Jupiterstrasse,1,3015,Bern,BE,4.5,107,1900
Colombstrasse,11,3027,Bern,BE,3.5,87,1925
Turnweg,24,3013,Bern,BE,3.5,82,1930
Rodtmattstrasse,64,3014,Bern,BE,3,70,1940
Speichergasse,23,3011,Bern,BE,2,90,1950
Brunnhofweg,39,3007,Bern,BE,3.5,89,1965
Tscharnerstrasse,5,3007,Bern,BE,3.5,80,1970
Bolligenstr.,30,3006,Bern,BE,3,89,1970
Münstergasse,55,3011,Bern,BE,3,73,1970
Obermattstr.,16,3018,Bern,BE,4.5,89,1975
Jupiterstrasse,9,3015,Bern,BE,4.5,100,1980
Brunnhofweg,39,3007,Bern,BE,3.5,97,1980
Wabernstrasse,69,3007,Bern,BE,3.5,80,1990
Zähringerstr.,25,3012,Bern,BE,2.5,78,1990
Rehhagstrasse,49,3018,Bern,BE,4.5,101,1990
Jupiterstrasse,7,3015,Bern,BE,4.5,100,1990
Europaplatz,1,3008,Bern,BE,2.5,76,2010
Mühledorfstrasse,27,3018,Bern,BE,4.5,88,2010
Mädergutstrasse,45,3018,Bern,BE,4.5,105,2040
Bürglenstrasse,40,3006,Bern,BE,2.5,81,2040
Marzilistrasse,23,3005,Bern,BE,3,68,2050
Winkelriedstrasse,48,3014,Bern,BE,3.5,120,2050
Jupiterstrasse,1,3015,Bern,BE,4.5,100,2050
Postgasse,54,3011,Bern,BE,2.5,47,2070
Seftigenstrasse,47,3007,Bern,BE,4.5,100,2080
Reiterstrasse,4,3013,Bern,BE,4,91,2095
Schänzlihalde,30,3013,Bern,BE,3,64,2130
Hopfenweg,40,3007,Bern,BE,4.5,82,2140
Steinerstrasse,25,3006,Bern,BE,3,56,2140
Reiterstrasse,4,3013,Bern,BE,4,91,2150
Bitziusstrasse,51,3006,Bern,BE,2,70,2180
Murtenstrasse,143,3008,Bern,BE,3.5,94,2185
Mühlemattstrasse,55,3007,Bern,BE,2,98,2190
Winkelriedstrasse,55,3014,Bern,BE,4.5,81,2230
Friedlistrasse,19,3006,Bern,BE,1.5,85,2250
Schwarztorstrasse,106,3007,Bern,BE,3.5,92,2255
Blockweg,8,3007,Bern,BE,4.5,98,2300
Winterholzstrasse,55,3018,Bern,BE,1,157,2300
Neufeldstrasse,134,3012,Bern,BE,4,90,2300
Rathausgasse,57,3011,Bern,BE,2,36,2300
Elisabethenstr.,10,3014,Bern,BE,2.5,68,2300
Schwarztorstrasse,110,3007,Bern,BE,3.5,92,2320
Marktgasse,52,3011,Bern,BE,2.5,84,2330
Brückfeldstr.,19,3012,Bern,BE,3.5,78,2340
Obermattstr.,16,3018,Bern,BE,4.5,130,2360
Weltpoststrasse,8,3015,Bern,BE,3.5,95,2360
Schwarztorstrasse,104,3007,Bern,BE,3.5,98,2365
Schwarztorstrasse,108,3007,Bern,BE,3.5,98,2365
Gerechtigkeitsgasse,59,3011,Bern,BE,2.5,73,2390
Muristrasse,170,3006,Bern,BE,5,106,2390
Buchserstrasse,2,3006,Bern,BE,5.5,130,2390
Friedlistrasse,20,3006,Bern,BE,3.5,110,2395
Thunstrasse,5,3005,Bern,BE,2,32,2400
Konsumstrasse,13,3007,Bern,BE,2.5,89,2410
Konsumstrasse,13,3007,Bern,BE,2.5,89,2410
Gerechtigkeitsgasse,48,3011,Bern,BE,2.5,79,2425
Helvetiastrasse,19,3005,Bern,BE,3,80,2430
Dunantstrasse,15,3006,Bern,BE,4.5,103,2450
Mülinenstrasse,34,3006,Bern,BE,3.5,86,2450
